OBJECTID;Facility;Address__Facility_;ZIP__Facility_;Town__Facility_;Canton__Facility_;Services__Facility_;Institution;Address__Institution_;Town__Institution_;Medic;Nursing_Staff;Medical_Staff_Other;Beds_Acute_Care;Beds_in_Psychiatric_Wards;Beds_in_Rehab;Beds_in_Birth_Centers;longitude;latitude;Beds_Aggregated;Beds_Total;Size_Category;Cost_per_Bed
672;Asana Spital Menziken AG;Spitalstrasse 1;5737;Menziken;AG;Amb, Stat;Asana Spital Menziken AG;Spitalstrasse 1;5737 Menziken;24.3;62.63;37.99;34;;;;2656920.804;1233094.981;;;;
673;Augenpraxis Baar;Bahnhofstrasse 14;6340;Baar;ZG;Amb;LUKS Spitalbetriebe AG;Spitalstrasse;6004 Luzern;1111.49;2535.92;762.34;671;;61;;2682167.944;1227659.42;;;;
674;Balgrist Flughafen Zürich;Circle 59;8058;Zürich-Flughafen;ZH;Amb;Universitätsklinik Balgrist;Forchstrasse 340;8008 Zürich;173.39;298.12;188.17;100;;29;;2685007.95;1256069.451;;;;
675;Bellikon;Mutschellenstrasse 2;5454;Bellikon;AG;Amb, Stat;Rehaklinik Bellikon;Mutschellenstrasse 2;5454 Bellikon;45.75;193.47;179.96;;;231;;2668323.36;1249005.155;;;;
676;Berit Klinik AG;Vögelinsegg 5;9042;Speicher;AR;Amb, Stat;Berit Klinik AG;Vögelinsegg 5;9042 Speicher;11.78;128.8;55.36;70;;26;;2750843.607;1253521.755;;;;
677;Berit Klinik AG Rehabiliation & Kur;Steinweg 1;9052;Niederteufen;AR;Amb, Stat;Berit Klinik AG;Vögelinsegg 5;9042 Speicher;11.78;128.8;55.36;70;;26;;2745276.452;1250586.114;;;;
678;Berit Klinik AG Ärztezentrum im Hamel;Stickereistrasse 4;9320;Arbon;TG;Amb;Berit Klinik AG;Vögelinsegg 5;9042 Speicher;11.78;128.8;55.36;70;;26;;2750162.077;1264141.192;;;;
679;Berit Klinik Goldach;Klosterstrasse 19;9403;Goldach;SG;Amb, Stat;Berit Klinik Goldach;Klosterstrasse 19;9403 Goldach;4;2.72;3.42;0;;;;2753463.265;1260269.156;;;;
680;Berit Klinik Wattwil;Steig 48;9630;Wattwil;SG;Amb, Stat;Berit Klinik Wattwil;Steig 48;9630 Wattwil;5.48;17.8;12.33;14;16;;;2724459.069;1239911.841;;;;
681;Berner Klinik Montana;Imp. Palace Bellevue 1;3963;Crans-Montana;VS;Amb, Stat;Berner Klinik Montana (Stiftung);Spitalackerstr. 74;3011 Bern;;;;;;;;2603687.614;1129126.198;;;;
