Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Corcelles-le-Jorat,Broye-Vully,495,1.1120547945205481,8.835571738,Moudon,460,445,458,451,489,485,500,499,495
Corcelles-près-Concise,Jura-Nord vaudois,439,0.9862465753424658,8.564435817,Psychiatrie Nord CPNVD,377,401,401,419,416,412,425,438,439
Corcelles-près-Payerne,Broye-Vully,3129,7.029534246575343,1.7956371610000001,Payerne,2448,2479,2571,2681,2720,2856,2915,3004,3129
Corseaux,Riviera-Pays-d'Enhaut,2326,5.225534246575342,1.325210308,Les Moulins,2289,2282,2287,2311,2328,2307,2339,2322,2326
Corsier-sur-Vevey,Riviera-Pays-d'Enhaut,3458,7.768657534246576,0.1112933741,Hôpital psychiatrique Nant,3396,3386,3363,3420,3389,3366,3429,3389,3458
Cossonay,Morges,4974,11.174465753424657,0.2356762877,Permanence de Cossonay,3808,3871,4045,4222,4326,4389,4772,4902,4974
Crans,Nyon,2483,5.578246575342465,2.013261228,Clinique Bois-Bougy,2177,2193,2286,2340,2373,2357,2424,2455,2483
Crassier,Nyon,1272,2.857643835616438,4.839691506,Clinique la Métairie,1161,1175,1169,1174,1228,1233,1273,1274,1272
Crissier,Ouest lausannois,11116,24.972931506849317,4.391665218,Hôpital ophtalmique Jules-Gonin,8008,7905,7944,8700,8973,9161,9327,10680,11116
Cronay,Jura-Nord vaudois,432,0.9705205479452055,4.21851993,Hôpital d'Yverdon-les-Bains,380,385,394,393,403,410,422,425,432
Croy,Jura-Nord vaudois,408,0.9166027397260276,3.6705930870000003,Hôpital de Saint-Loup,379,404,403,397,390,386,397,403,408
Cuarnens,Morges,557,1.2513424657534247,5.281368881000001,Permanence de Cossonay,479,479,486,527,531,545,541,561,557
Cuarny,Jura-Nord vaudois,244,0.5481643835616438,3.222967511,Hôpital d'Yverdon-les-Bains,241,243,239,234,245,236,242,241,244
Cudrefin,Broye-Vully,1915,4.302191780821918,15.93207856,Payerne,1589,1633,1735,1780,1837,1876,1878,1885,1915
Cugy,Gros-de-Vaud,2824,6.344328767123288,6.499629754,Clinique de la Source,2744,2742,2768,2760,2733,2697,2733,2790,2824
Curtilles,Broye-Vully,302,0.6784657534246575,4.803018594,Moudon,318,313,310,301,296,294,310,308,302
Démoret,Jura-Nord vaudois,181,0.4066301369863014,8.778515896,Hôpital d'Yverdon-les-Bains,146,141,156,158,164,167,160,172,181
Daillens,Gros-de-Vaud,1113,2.5004383561643837,3.4751977050000002,Permanence de Cossonay,998,1027,1034,1048,1051,1057,1062,1099,1113
Denens,Morges,748,1.6804383561643836,3.498003573,Hôpital de Morges,774,747,742,742,733,715,742,742,748
Denges,Morges,1844,4.1426849315068495,3.014961191,Hôpital de Morges,1614,1610,1609,1730,1742,1778,1821,1837,1844
Dizy,Morges,239,0.5369315068493151,2.384944171,Permanence de Cossonay,229,223,234,224,225,232,237,238,239
Dompierre,Broye-Vully,242,0.5436712328767124,7.454675104,Moudon,259,239,232,245,246,248,253,240,242
Donneloye,Jura-Nord vaudois,905,2.033150684931507,6.2050665920000005,Hôpital d'Yverdon-les-Bains,813,809,823,829,891,905,919,917,905
Duillier,Nyon,1120,2.516164383561644,2.206374701,Psychiatrie Ouest Hôpital de Prangins,1078,1085,1090,1128,1146,1116,1115,1143,1120
Dully,Nyon,637,1.431068493150685,0.8568357847,Clinique la Lignière,640,635,639,628,634,631,632,623,637
Echallens,Gros-de-Vaud,6816,15.312657534246577,10.37442053,Permanence de Cossonay,5728,5742,5725,5731,5739,5816,6572,6722,6816
Echandens,Morges,3116,7.000328767123287,3.526045222,Hôpital de Morges,2757,2789,2739,2743,2775,2891,2910,3004,3116
Echichens,Morges,3241,7.281150684931506,1.793211142,Hôpital de Morges,2712,3050,3077,3127,3142,3211,3181,3218,3241
Eclépens,Morges,1202,2.700383561643836,2.719581686,Hôpital de Saint-Loup,1091,1211,1222,1220,1198,1199,1182,1211,1202
Ecublens,Ouest lausannois,13758,30.908383561643834,4.551581561,Hôpital ophtalmique Jules-Gonin,12560,12939,13089,13164,13212,13129,13334,13391,13758
Epalinges,Lausanne,9869,22.17145205479452,3.395523338,Centre Hospitalier Universitaire Vaudois,9335,9624,9701,9755,9813,9825,9910,9905,9869
Ependes,Jura-Nord vaudois,376,0.8447123287671233,4.080826651,Hôpital de Chamblon,361,360,357,388,381,372,388,381,376
Essertines-sur-Rolle,Nyon,770,1.7298630136986302,1.892306275,Hôpital de Gilly,696,726,722,740,753,749,768,789,770
Essertines-sur-Yverdon,Gros-de-Vaud,1183,2.657698630136986,5.552155668,Hôpital d'Yverdon-les-Bains,981,1024,1030,1036,1059,1081,1105,1148,1183
Etagnières,Gros-de-Vaud,1168,2.624,8.157210428,Clinique de la Source,1119,1118,1143,1148,1148,1154,1172,1189,1168
Etoy,Morges,3013,6.768931506849315,2.1967094040000004,Institution de Lavigny,2908,2905,2933,2909,2918,2938,2920,2966,3013
Eysins,Nyon,1811,4.06854794520548,1.567542295,Hôpital de Nyon,1603,1618,1737,1740,1736,1768,1739,1772,1811
Féchy,Morges,906,2.0353972602739727,1.82027215,Hôpital d'Aubonne,895,860,861,869,890,887,896,919,906
Faoug,Broye-Vully,902,2.0264109589041097,13.8120841,Payerne,893,904,884,881,865,903,906,900,902
Ferreyres,Morges,308,0.691945205479452,1.62246625,Hôpital de Saint-Loup,322,310,320,319,319,308,319,309,308
Fey,Gros-de-Vaud,791,1.7770410958904113,9.195620147,Moudon,703,734,751,749,754,736,763,789,791
Fiez,Jura-Nord vaudois,421,0.9458082191780821,5.406462365,Psychiatrie Nord CPNVD,425,447,445,451,442,436,436,431,421
Fontaines-sur-Grandson,Jura-Nord vaudois,228,0.5122191780821918,6.229647753999999,Hôpital de Chamblon,210,218,215,219,220,214,199,220,228
Forel (Lavaux),Lavaux-Oron,2113,4.747013698630138,5.999821662,Hôpital de Lavaux,2084,2082,2064,2105,2110,2067,2068,2088,2113
Founex,Nyon,3737,8.395452054794522,5.314572006000001,Clinique Bois-Bougy,3788,3790,3772,3834,3822,3763,3792,3748,3737
Froideville,Gros-de-Vaud,2713,6.094958904109589,8.987708667000001,Centre Hospitalier Universitaire Vaudois,2561,2576,2638,2694,2672,2720,2728,2731,2713
Genolier,Nyon,2071,4.6526575342465755,1.0535487270000001,Clinique de Genolier,1945,1961,2000,1996,2022,2026,2038,2012,2071
Giez,Jura-Nord vaudois,464,1.0424109589041097,3.678311544,Hôpital de Chamblon,421,412,414,414,443,450,459,464,464
Gilly,Nyon,1429,3.2103561643835623,1.550630966,Hôpital de Gilly,1294,1324,1370,1428,1438,1446,1475,1441,1429
Gimel,Morges,2453,5.510849315068493,4.474854025,Hôpital de Gilly,2016,2186,2238,2307,2401,2414,2465,2458,2453
Gingins,Nyon,1241,2.788,4.905872581,Hôpital de Nyon,1212,1226,1239,1257,1265,1270,1262,1253,1241
Givrins,Nyon,1096,2.462246575342466,2.1295464780000004,Clinique de Genolier,995,1033,1032,1031,1010,1024,1019,1071,1096
