I,ID,Aigle Pôle Physio-Ergo d'Aigle,Biotonus,CIC,Centre Hospitalier Universitaire Vaudois,Chamoyron,Château-d'Oex,Clinique Bois-Bougy,Clinique Bois-Cerf,Clinique Cecil,Clinique La Prairie,Clinique Valmont,Clinique de Genolier,Clinique de Montchoisi,Clinique de la Source,Clinique la Lignière,Clinique la Métairie,Espace Santé Rennaz,Fondation Rive-Neuve,Grand-Chêne,HRC,Hôpital d'Orbe,Hôpital d'Yverdon-les-Bains,Hôpital de Chamblon,Hôpital de Gilly,Hôpital de Lavaux,Hôpital de Morges,Hôpital de Nyon,Hôpital de Rolle,Hôpital de Saint-Loup,Hôpital de la Vallée de Joux,Hôpital ophtalmique Jules-Gonin,Hôpital psychiatrique Nant,Hôpital d'Aubonne,Institution de Lavigny,La Tour-de-Peilz,Les Communaux,Les Moulins,Les Rosiers,Molage,Montreux,Mottex Réadaptation/gériatrie,Moudon,Payerne,Permanence de Cossonay,Providence Permanence médicale Riviera Réadaptation/gériatrie,Psychiatrie Nord CPNVD,Psychiatrie Ouest Hôpital de Prangins,Pôle Santé Pays-d'Enhaut,Rennaz Centre hospitalier de Rennaz,Samaritain Site administratif
181,Ballaigues,63209.60098,51281.15385,48804.49709,28680.15939,45850.58958,61723.96408,42111.88686,29419.58907,28282.73016,48182.73913,52133.32927,34971.17045,29835.32627,27915.34053,35013.7598,42031.76325,55187.46061,46564.75178,62868.28248,55107.69803,9280.916801,18520.69223,15988.55971,29991.48167,35801.20763,24009.5944,41020.28568,29906.42349,9929.49293,20425.63127,27939.15211,43764.95719,26556.45103,25272.52338,46203.13625,44815.46597,44161.77676,11778.32861,62467.19135,50360.51758,46991.04675,30511.01866,41950.41851,14652.54023,45387.33544,18877.33138,38708.20882,62448.12163,55107.67,45174.87176
180,Ballens,52939.54723,44033.2503,41587.26928,20536.2389,39585.10906,58323.8393,22992.46104,20121.66797,19284.6131,40941.9606,44936.85223,17055.50221,20556.21895,19596.74071,15552.86684,22922.7438,46166.00206,40139.26068,52633.14432,46156.75017,23074.99063,32008.78173,30875.53771,10666.26429,27753.7862,10157.69867,22008.74505,10086.64087,15990.88678,12965.15842,19294.199,37565.44736,6930.405548,6290.738875,38880.53039,37725.34771,37183.87196,30969.38968,52471.5648,43184.58515,40472.53957,35128.18875,52732.07837,12011.23953,38272.63107,32886.25599,19439.84299,59361.88578,46156.71352,38204.01422
184,Bassins,59245.95248,53157.64135,50927.41551,32154.58185,49660.29507,68828.15136,10223.67018,31202.37706,30726.0329,50322.21127,54025.22097,2358.372418,31549.93315,31326.02343,6233.425197,10130.27757,53919.29535,50075.60958,58987.97299,53962.18626,37543.22405,46766.22707,45465.36159,5800.507841,38147.68416,21686.25021,9026.815354,8971.96337,30720.9575,15223.88478,30922.25154,47856.96555,12502.68745,14554.36171,48394.23328,47488.83714,47066.17957,44329.20689,59031.21838,52420.44,50326.77041,49379.24577,67505.29656,26824.49103,47969.48866,47610.28609,7665.390004,69984.69715,53962.14616,47993.29491
183,Baulmes,63374.96285,50348.15429,48019.68915,30794.89804,44770.84284,58184.6396,51500.50123,31966.87514,30902.52882,47454.94431,51119.21156,44823.72941,32296.89558,30275.19844,44130.22466,51426.80596,55008.33623,45515.17477,63026.87885,54893.33792,6727.244942,9735.653845,6714.697032,39187.9656,36710.33786,29757.8579,50470.99227,38543.06813,13766.28609,31081.67378,30455.57659,42825.51541,34691.64667,33026.0873,45668.67075,44267.28405,43608.43087,3892.353466,62503.53228,49447.55065,45959.05083,25207.88478,32542.12878,19545.52076,44805.21682,9624.932996,47984.50267,58715.59117,54893.31621,44532.16819
182,Bavois,51632.08606,39078.31282,36655.21096,18402.77429,33550.57247,48851.2331,43075.66141,19572.62121,18513.68358,36056.51377,39899.16431,37569.30186,19900.83188,17879.34329,35509.10034,43015.41128,43380.96191,34282.40402,51285.57924,43281.54406,5816.092406,11717.10422,11288.53691,30934.71763,24556.35425,18504.36232,42187.79756,29489.30672,5100.011848,27909.99925,18063.37539,31510.96644,25240.04217,23260.40084,34158.557,32754.23481,32093.14244,16171.82456,50811.81796,38161.54296,34719.06465,18052.97825,32747.16148,8937.726166,33313.28213,12693.84891,39478.36307,49561.09688,43281.51934,33069.50927
161,Begnins,57292.13933,51740.2643,49570.52715,31557.71558,48470.29319,67626.38695,7744.190428,30495.01515,30116.15685,48978.36654,52594.55874,2357.796021,30814.33489,30774.54422,3652.027141,7656.550543,52237.47609,48851.7267,57043.03394,52289.35622,38875.17998,47867.13131,46724.52376,5513.389227,37155.09283,21413.35623,6591.845877,8100.061205,31855.44962,17922.1163,30354.09225,46730.70624,12198.38085,14353.62249,47094.22228,46249.72145,45856.52293,46114.41278,57118.28227,51030.93854,49083.03252,49522.75763,68043.25174,27570.8058,46711.83556,48749.94901,4833.933594,68806.46109,52289.31577,46755.18199
160,Belmont-sur-Lausanne,32328.33957,21122.89181,18611.79672,3080.199251,16192.26238,34710.2196,38387.71543,3912.652095,4420.61461,17963.80379,22018.75005,36526.82837,3617.263156,4017.134675,31787.58739,38369.20374,24426.39697,16808.07238,31988.14213,24361.83053,25679.28641,27955.21489,29194.66092,29312.71695,4923.305209,13793.19623,37980.38949,26326.36024,20982.88091,36248.13661,4333.368702,14111.64436,22622.08698,20686.54017,15895.06188,14597.75044,13991.7595,35982.83335,31603.8807,20222.61597,17180.10738,18902.01538,38838.85155,16915.65422,15170.5156,29050.30672,35212.15354,35750.27967,24361.80017,15035.35605
159,Belmont-sur-Yverdon,54820.46744,41501.978,39252.04051,24169.04257,35937.91072,48763.46027,51014.79928,25564.39586,24631.78818,38715.43721,42237.9516,45377.59841,25810.00395,23864.33827,43450.08717,50953.83995,46392.89664,36683.27469,54472.47059,46265.23602,7031.049229,3781.828795,4362.747748,38841.51662,28993.66486,26191.96999,50118.18799,37438.89495,12444.37665,34547.39453,24144.28442,34071.92832,33190.38534,31203.61307,37028.66597,35643.68942,34993.67246,13092.21033,53904.79914,40617.71785,37127.76366,15783.83102,26042.53054,16886.99851,36159.41358,4807.161717,47418.11066,49284.90082,46265.21701,35866.55793
9,Bercher,46912.08973,33378.5502,31218.56577,19256.58573,27860.54877,40262.69191,51052.73893,20815.56679,20132.10599,30714.16882,34077.85348,46529.91953,20934.61788,19259.62737,43570.71951,51005.137,38466.80361,28601.74601,46565.59637,38327.57298,13976.98137,10108.81337,12400.70222,39470.72823,22370.4604,24648.45083,50303.37959,37450.70456,15859.0329,38577.32677,19639.84467,26094.27065,33090.96952,30945.19306,29145.03832,27791.49759,27158.22416,21610.79025,45959.26286,32514.57028,29043.86568,7569.125913,23065.09756,17785.60576,28277.92471,11078.13612,47495.92815,40802.14638,38327.55668,27966.6191
162,Berolle,55814.25116,47026.35134,44583.22009,23530.11971,42587.51371,61316.34701,22354.83886,23124.03415,22284.44124,43938.27171,47929.72734,15666.34382,23558.62221,22589.19706,15228.58461,22277.02924,49112.90657,43141.41979,55510.51841,49106.1134,24187.35868,33480.1639,32116.2371,10203.90053,30755.76867,13146.2067,21288.40704,10568.8098,17457.57035,10036.53322,22290.18636,40567.52774,8507.6363,8526.902886,41877.96851,40725.65972,40185.13658,31310.69474,55361.93385,46179.47206,43474.35301,37623.62155,54798.94827,14202.45551,41272.39162,34301.61644,18917.60715,62350.8324,49106.07654,41204.76087
