Commune,Aigle Pôle Physio-Ergo d'Aigle,Biotonus,CIC,Centre Hospitalier Universitaire Vaudois,Chamoyron,Château-d'Oex,Clinique Bois-Bougy,Clinique Bois-Cerf,Clinique Cecil,Clinique La Prairie,Clinique Valmont,Clinique de Genolier,Clinique de Montchoisi,Clinique de la Source,Clinique la Lignière,Clinique la Métairie,Espace Santé Rennaz,Fondation Rive-Neuve,Grand-Chêne,HRC,Hôpital d'Orbe,Hôpital d'Yverdon-les-Bains,Hôpital de Chamblon,Hôpital de Gilly,Hôpital de Lavaux,Hôpital de Morges,Hôpital de Nyon,Hôpital de Rolle,Hôpital de Saint-Loup,Hôpital de la Vallée de Joux,Hôpital ophtalmique Jules-Gonin,Hôpital psychiatrique Nant,Hôpital d'Aubonne,Institution de Lavigny,La Tour-de-Peilz,Les Communaux,Les Moulins,Les Rosiers,Molage,Montreux,Mottex Réadaptation/gériatrie,Moudon,Payerne,Permanence de Cossonay,Providence Permanence médicale Riviera Réadaptation/gériatrie,Psychiatrie Nord CPNVD,Psychiatrie Ouest Hôpital de Prangins,Pôle Santé Pays-d'Enhaut,Rennaz Centre hospitalier de Rennaz,Samaritain Site administratif
Bercher,46.91208973,33.3785502,31.21856577,19.256585729999998,27.86054877,40.26269191,51.05273893,20.815566790000002,20.13210599,30.714168819999998,34.077853479999995,46.52991953,20.93461788,19.259627369999997,43.57071951,51.005137000000005,38.46680361,28.60174601,46.56559637,38.32757298,13.976981369999999,10.10881337,12.40070222,39.47072823,22.3704604,24.64845083,50.30337959,37.45070456,15.8590329,38.57732677,19.63984467,26.09427065,33.09096952,30.94519306,29.14503832,27.79149759,27.158224160000003,21.610790249999997,45.95926286,32.51457028,29.04386568,7.569125913,23.065097559999998,17.78560576,28.27792471,11.07813612,47.49592815,40.802146379999996,38.32755668,27.9666191
Berolle,55.81425116,47.02635134,44.583220090000005,23.530119709999997,42.587513709999996,61.31634701,22.35483886,23.12403415,22.28444124,43.93827171,47.92972734,15.66634382,23.558622210000003,22.58919706,15.22858461,22.27702924,49.11290657,43.14141979,55.510518409999996,49.106113400000005,24.187358680000003,33.4801639,32.1162371,10.20390053,30.755768670000002,13.1462067,21.28840704,10.5688098,17.45757035,10.036533219999999,22.29018636,40.567527739999996,8.5076363,8.526902886,41.87796851,40.72565972,40.18513658,31.31069474,55.36193385,46.17947206,43.47435301,37.62362155,54.798948270000004,14.20245551,41.27239162,34.30161644,18.91760715,62.3508324,49.106076540000004,41.20476087
Bettens,46.254619469999994,34.25588506,31.77252227,12.25816378,28.86145965,45.49543866,38.78050519000001,13.339164779999999,12.25711538,31.148175159999997,35.11374628,34.09916101,13.68756193,11.66679566,31.25468158,38.72922345,38.166886469999994,29.56766418,45.911279979999996,38.08373455,11.97633805,17.11612096,17.2649036,27.058303889999998,18.89729349,12.92340743,37.99232192,25.135807229999998,7.136945707,27.33279889,11.820611430000001,26.76509377,20.77989345,18.66268895,29.162570029999998,27.776684959999997,27.12407257,22.37506744,45.48807033,33.335451930000005,29.989651849999998,17.908741470000002,35.48983225,5.654411161,28.349267779999998,18.18165759,35.20305192,46.326435360000005,38.08370704,28.14027208
Bex,7.464352971,21.10922027,23.137975989999997,41.96804086,26.51173133,25.97157214,62.11349583,41.45311835,42.57143617,23.63152029,20.51950811,65.19073623999999,41.009296410000005,42.79826821,59.2344449,62.15729304,15.89138117,25.77764574,7.812595545,16.02417408,64.78919848,64.45049086,66.53249706999999,59.87989727,34.74760316,49.83813299,62.48263267,56.69370645,60.633340239999995,72.43443114,42.84479887,28.25434371,55.192316919999996,54.23838213,25.25254984,26.63702777,27.288209480000003,74.72829747,8.385954699,21.92307377,25.34018148,49.30970818,63.33047403,56.32485664,26.12198548,65.4208082,60.66405657,26.97069236,16.02419166,26.41827621
Bière,54.72534315,46.46220335,44.055566250000005,23.4137253,42.22373813,61.13489584,19.91340022,22.84030001,22.09355533,43.41634453,47.36182194,13.556099060000001,23.25695788,22.4928011,12.69063081,19.838016909999997,48.269021159999994,42.74670989,54.42914946,48.272598720000005,26.35330544,35.46410471,34.22846544,7.671423643,30.38274916,12.74186088,18.872240180000002,8.010304478,19.42002234,11.34840043,22.15696772,40.24594032,6.428672839,6.967244327,41.37520552,40.27496308,39.75969191,33.76857101,54.31685854,45.63629082,43.061583729999995,38.69745442,56.34462489,15.62412787,40.80915392,36.31943303,16.435175299999997,62.20263259,48.272561,40.7632072
Bioley-Magnoux,50.24547658,36.597151100000005,34.51357051,22.97468955,31.138284029999998,42.439272349999996,53.920521990000005,24.52356331,23.806903900000002,34.03308566,37.262569909999996,49.045330979999996,24.65641958,22.942451600000002,46.38991368,53.86900662,41.80812192,31.87285881,49.90050757,41.66226889,13.594421109999999,7.169325874,9.909854443,42.120378900000006,26.125248329999998,27.7903311,53.126974419999996,40.27314191,17.182667600000002,39.96926206,23.31226501,29.44930519,35.9190597,33.80296634,32.541387719999996,31.210514200000002,30.588735,19.56639825,49.271915459999995,35.75273846,32.31117214,9.280027468,20.71616855,20.09567856,31.67911366,7.973715639,50.34153072,42.88687829,41.6622543,31.35893271
Blonay - Saint-Légier,18.823400539999998,5.128358216,3.1589197749999998,19.92292176,0.7621172114,18.40819354,51.672862970000004,20.211489699999998,21.08043029,2.8654377639999997,5.860685182999999,51.50478611,19.77717322,20.87197849,46.123614110000005,51.677013599999995,10.46155186,0.6791864828,18.48235456,10.29713681,39.60978033,38.35740697,40.553153030000004,44.65007465,12.598046179999999,30.260938030000002,51.537363039999995,41.4506293,36.621458229999995,53.106333129999996,21.12264271,2.809313958,38.34431967,36.65293872,2.8730516280000002,3.0733494300000004,3.3779481810000003,49.134153250000004,17.82080053,4.267692958,0.9588431322000001,23.20109545,39.1631599,33.442745609999996,2.7533511990000004,39.3060144,48.98210948,19.5785789,10.29712742,2.586553678
Bofflens,56.75493363,44.49673042,42.04361006,22.69393677,39.0119957,54.60338953,42.21073173,23.64187229,22.52251091,41.43236701,45.33421206,35.909501909999996,24.02324321,22.0268541,34.74901724,42.14091809,48.60605727,39.73566501,56.41053821,48.51630693,3.96246721,13.672811509999999,11.93717036,29.883299859999997,29.43591354,20.18910237,41.221612209999996,29.023177670000003,4.201149213,24.04277798,22.12407526,36.94590387,25.075701679999998,23.36160038,39.489744720000004,38.0915472,37.43308266,12.82260009,55.97184864,43.576981890000006,40.167553569999995,23.547187089999998,36.54959988,9.991483943999999,38.658179340000004,14.35259846,38.65507637,55.31951547,48.51628053,38.43011832
Bogis-Bossey,61.868109790000005,58.63676101,56.71724278999999,41.152371980000005,56.17805832,75.02894425,5.354266931,39.885297890000004,39.72200065,56.18071647,59.42830529,11.05649454,40.13374154,40.48077227,12.56542192,5.372066925,58.1239884,56.44659693,61.66681604,58.21128883,50.54204905,59.464079039999994,58.375530680000004,16.9172179,45.6778435,31.87237506,5.868887202,18.68089483,43.484868049999996,27.99940712,40.03786887,54.66469296,23.039803080000002,25.190590540000002,54.47980601,53.84789765,53.554812059999996,57.69162379,61.89331347,58.03797146,56.61065619,60.187668429999995,79.15693257999999,39.02243999,54.2417764,60.3621043,8.700852591999999,76.27311757,58.21124782,54.346136449999996
Bonvillars,63.209564449999995,49.480075019999994,47.470881320000004,35.09192298,44.090581570000005,53.7285191,61.95267125,36.56039995,35.69704164,47.01066414,50.10957776,55.90012695,36.76475069,34.88808137,54.41699527,61.887368929999994,54.78973179,44.81751034,62.86633767,54.63868461,16.06655559,7.725378833,8.160985045,49.67225009,39.040641120000004,37.608831980000005,61.00885033,48.49708326,23.07832637,43.34812556999999,35.20249732,42.462677049999996,44.324815,42.39931063,45.57534982,44.25917266,43.644096080000004,13.56791808,62.21840792,48.65679047,45.2513211,21.4262422,21.17631404,28.0871333,44.717168980000004,6.643138665,58.367541259999996,53.99667071,54.638671439999996,44.392209130000005
